repo_name	decision	note	description	topics	language	stars	archived	is_fork	search_names
dmelguizo/new_length_seq_fasta_R	include	repository name indicates FASTA sequence handling			Nextflow	0.0	0.0	0.0	dmelguizo/new_length_seq_fasta_r
dmelguizo/nextflow_count_seq_fasta	include	repository name indicates FASTA sequence handling			Nextflow	0.0	0.0	0.0	dmelguizo/nextflow_count_seq_fasta
dmicheel/fasta-to-decoy-digest	include	repository name indicates FASTA conversion/handling			Java	0.0	0.0	0.0	dmicheel/fasta-to-decoy-digest
docker-rubygem/fasta_read	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	docker-rubygem/fasta_read
docker-rubygem/fasta_util	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	docker-rubygem/fasta_util
Dondonn/mergeFASTA	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	dondonn/mergefasta
dongshuyan/pdb2fasta	include	repository name indicates FASTA sequence handling	change format from pdb to fasta .python file change from https://gist.github.com/jameslyons/00cad4f1ab6a49c2b3df .And C++ file is written by myself.		C++	9.0	0.0	0.0	dongshuyan/pdb2fasta
dowlir/FASTA	include	metadata indicates biological FASTA use	looking at ORFs		Python	0.0	0.0	0.0	dowlir/fasta
drauso/fasta	exclude	insufficient metadata to establish biological FASTA use			Java	0.0	0.0	0.0	drauso/fasta
DRL/exonerate_gff_to_fasta	include	metadata indicates biological FASTA use			Python	0.0	0.0	0.0	drl/exonerate_gff_to_fasta
DrNagendra619/PARSING-FASTA-AND-GENBANK-FILES	include	metadata indicates biological FASTA use	PARSING FILES 		Jupyter Notebook	0.0	0.0	0.0	drnagendra619/parsing-fasta-and-genbank-files
dsjghkjdfhgjdfg/gene.fasta	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	dsjghkjdfhgjdfg/gene.fasta
durvadeshmukh19-prog/FASTA	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	durvadeshmukh19-prog/fasta
dzmitrybio/fastq2fasta	include	metadata indicates biological FASTA use	AWK script for conversion of fastq to fasta. 		Awk	0.0	0.0	0.0	dzmitrybio/fastq2fasta
eassuncao/fasta_inspector	include	metadata indicates biological FASTA use	Fasta Inspector		Python	0.0	0.0	0.0	eassuncao/fasta_inspector
ecotoneservice/Embarrassingly_FASTA	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	ecotoneservice/embarrassingly_fasta
EDario333/fasta-to-smiles	include	repository name indicates FASTA conversion/handling			Julia	0.0	0.0	0.0	edario333/fasta-to-smiles
eddiegrinman/Python-Fasta-pipeline	include	metadata indicates biological FASTA use	A series of codes for conveniently handling and analyzing oligonucleotide sequence data in Python		Python	0.0	0.0	0.0	eddiegrinman/python-fasta-pipeline
edecocke-uncc/FASTA-Analysis	include	repository name indicates FASTA sequence handling	this is a HW repository 		Python	0.0	0.0	0.0	edecocke-uncc/fasta-analysis
eetxlek/Fasta	include	metadata indicates biological FASTA use	Analizador de secuencia genética		Python	0.0	0.0	0.0	eetxlek/fasta
eggomez/python-fasta	include	metadata indicates biological FASTA use	Revcom fasta		Python	0.0	0.0	0.0	eggomez/python-fasta
ekg/fasta-to-fastq	include	metadata indicates biological FASTA use	Automatically exported from code.google.com/p/fasta-to-fastq		Perl	1.0	0.0	0.0	ekg/fasta-to-fastq
ekg/hamming-fasta	include	metadata indicates biological FASTA use	brute force online sequence similarity search		Rust	8.0	0.0	0.0	ekg/hamming-fasta
ekoontz/fasta	exclude	insufficient metadata to establish biological FASTA use			Scala	0.0	0.0	0.0	ekoontz/fasta
eleonorecharles/fasta2a	include	repository name indicates FASTA conversion/handling			Python	0.0	0.0	0.0	eleonorecharles/fasta2a
ElhabashyLab/trim_fasta	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	elhabashylab/trim_fasta
Eliah7/NFood-Fasta-App	exclude	metadata indicates unrelated use of FASTA term/acronym			Java	0.0	0.0	0.0	eliah7/nfood-fasta-app
Eliah7/PhpFoodFasta	exclude	metadata indicates unrelated use of FASTA term/acronym			PHP	0.0	0.0	0.0	eliah7/phpfoodfasta
Elias-GPT/fos_fasta_pipeline	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	elias-gpt/fos_fasta_pipeline
Elias-GPT/fos_fasta_pipeline_Proyecto1	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	elias-gpt/fos_fasta_pipeline_proyecto1
Elirainbow/analizador_fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	elirainbow/analizador_fasta
Elirainbow/gc_fasta	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	elirainbow/gc_fasta
Eman-hamza/human_fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	eman-hamza/human_fasta
emptyport/fasta-js	exclude	insufficient metadata to establish biological FASTA use			JavaScript	1.0	0.0	0.0	emptyport/fasta-js
emptyport/fasta-stats	include	repository name indicates FASTA sequence handling			HTML	0.0	0.0	0.0	emptyport/fasta-stats
EnesTahaTorun/Genomik_Fasta_Okuyucu_IU	include	metadata indicates biological FASTA use	Uzun nükleotid dizilireini analizinde kullanılır 		Python	0.0	0.0	0.0	enestahatorun/genomik_fasta_okuyucu_iu
EnisSah/fasta_tabular_credit_cars_analysis	include	repository name indicates FASTA sequence handling			Jupyter Notebook	0.0	0.0	0.0	enissah/fasta_tabular_credit_cars_analysis
eoinmeyler/FASTA	exclude	insufficient metadata to establish biological FASTA use	FASTA		Java	1.0	0.0	0.0	eoinmeyler/fasta
ericbrooks645/FASTA-to-Numpy-Array	include	repository name indicates FASTA conversion/handling				0.0	0.0	0.0	ericbrooks645/fasta-to-numpy-array
ericopolo/discoSNPtoFASTA	include	repository name indicates FASTA conversion/handling			Perl	0.0	0.0	0.0	ericopolo/discosnptofasta
erinijapranckeviciene/change_fasta	exclude	insufficient metadata to establish biological FASTA use			Shell	0.0	0.0	0.0	erinijapranckeviciene/change_fasta
eriqande/make-ancestral-fasta-snakeflow	exclude	insufficient metadata to establish biological FASTA use		noaa-omics-software	Python	3.0	0.0	0.0	eriqande/make-ancestral-fasta-snakeflow
estavrionto/FASTA	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	estavrionto/fasta
Estebans441/Proyecto-Genoma-Fasta	include	metadata indicates biological FASTA use	Proyecto de manejo de estructuras de datos aplicado a encriptacion y desencriptacion de secuencias geneticas.		C++	1.0	0.0	0.0	estebans441/proyecto-genoma-fasta
etyanglinus/fasta-admin	exclude	insufficient metadata to establish biological FASTA use			Blade	0.0	0.0	0.0	etyanglinus/fasta-admin
etyanglinus/fasta-courier	exclude	insufficient metadata to establish biological FASTA use			Dart	0.0	0.0	0.0	etyanglinus/fasta-courier
etyanglinus/fasta-vendor	exclude	insufficient metadata to establish biological FASTA use			Dart	0.0	0.0	0.0	etyanglinus/fasta-vendor
etyanglinus/fasta_rides_user	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	etyanglinus/fasta_rides_user
Euhene93/AlleleDetectionForFasta	include	metadata indicates biological FASTA use				0.0	0.0	0.0	euhene93/alleledetectionforfasta
evgeny-bakin/All-about-FASTA	include	metadata indicates biological FASTA use	Bioinformatics institute, Autumn-2018. Development of a tool for FASTA/FASTQ processing.		Python	1.0	0.0	0.0	evgeny-bakin/all-about-fasta
evolighting/pac2fasta	include	repository name indicates FASTA conversion/handling	bwa index to fasta		Python	3.0	0.0	0.0	evolighting/pac2fasta
Facer-Jordan/SylwesterUFASTA	exclude	insufficient metadata to establish biological FASTA use	licznik sylwester u fasta pzdr 		HTML	0.0	0.0	0.0	facer-jordan/sylwesterufasta
fairliiight/fasta_bootstrap	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	fairliiight/fasta_bootstrap
Fastaapp/Fasta-Website	exclude	insufficient metadata to establish biological FASTA use			TypeScript	0.0	0.0	0.0	fastaapp/fasta-website
fastabee/hackaton_fasta	exclude	insufficient metadata to establish biological FASTA use			HTML	0.0	0.0	0.0	fastabee/hackaton_fasta
fastabee/imago_fasta_feedback	exclude	insufficient metadata to establish biological FASTA use			HTML	0.0	0.0	0.0	fastabee/imago_fasta_feedback
fastabee/imago_fasta_tes1	exclude	insufficient metadata to establish biological FASTA use			HTML	0.0	0.0	0.0	fastabee/imago_fasta_tes1
fastabee/scraping_imago_fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	fastabee/scraping_imago_fasta
fastaopticians/fasta-assets	include	repository name indicates FASTA sequence handling	Product Images and Other assets required for the wesbite			0.0	0.0	0.0	fastaopticians/fasta-assets
fastapee/fasta	exclude	insufficient metadata to establish biological FASTA use	jewelry making			0.0	0.0	0.0	fastapee/fasta
FastaQuadruped/fasta.github.io	exclude	insufficient metadata to establish biological FASTA use	Documentation website for Fasta robotics			0.0	0.0	0.0	fastaquadruped/fasta.github.io
Fasterman3/fasta	exclude	insufficient metadata to establish biological FASTA use	fasta			1.0	0.0	0.0	fasterman3/fasta
FatemehMhbi/extract_seq_from_fasta	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	fatemehmhbi/extract_seq_from_fasta
FaVstarr/FASTA-repo	exclude	insufficient metadata to establish biological FASTA use			JavaScript	1.0	0.0	0.0	favstarr/fasta-repo
Fede-Berga/Fastq-Fasta	include	metadata indicates biological FASTA use	Convertitore Fastq-Fasta		Jupyter Notebook	0.0	0.0	0.0	fede-berga/fastq-fasta
Federicotrotta24/fasta-analyzer	include	repository name indicates FASTA sequence handling			Shell	0.0	0.0	0.0	federicotrotta24/fasta-analyzer
fehimenuruysal/Fasta_Dosya_Islemleri	include	metadata indicates biological FASTA use	Blomsum62 matrisi ve Needleman Wunsch algoritması kullanılmıştır.		Python	2.0	0.0	0.0	fehimenuruysal/fasta_dosya_islemleri
felipe-dna/fasta	include	metadata indicates biological FASTA use			Python	2.0	0.0	0.0	felipe-dna/fasta
FenosoaRandrianjatovo/Fastq_to_Fasta_Fasta_Quality	include	metadata indicates biological FASTA use			Perl	0.0	0.0	0.0	fenosoarandrianjatovo/fastq_to_fasta_fasta_quality
fervenegas1125/analizador_fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	fervenegas1125/analizador_fasta
fibetus/Random-FASTA-Generator	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	fibetus/random-fasta-generator
Filippo-Donini/Genomics-Fasta-parsing	include	metadata indicates biological FASTA use			Python	1.0	0.0	0.0	filippo-donini/genomics-fasta-parsing
fitbanana/python-fasta	exclude	insufficient metadata to establish biological FASTA use	Repo for SciComp workshop		Python	0.0	0.0	0.0	fitbanana/python-fasta
fmhirwa/django-fasta	exclude	insufficient metadata to establish biological FASTA use			Dockerfile	0.0	0.0	0.0	fmhirwa/django-fasta
fmhirwa/fasta	exclude	insufficient metadata to establish biological FASTA use	A CLI to help you set up faster with installing dependencies + dockerized boilerplates		JavaScript	0.0	0.0	0.0	fmhirwa/fasta
fmolls/fasta_to_pca	include	repository name indicates FASTA conversion/handling			Python	0.0	0.0	0.0	fmolls/fasta_to_pca
fojackson8/fasta_generator	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	fojackson8/fasta_generator
fplazaonate/csfasta-fasta-conv	include	metadata indicates biological FASTA use	Program that converts files from csfasta format to fasta and the other way around.		C++	1.0	0.0	0.0	fplazaonate/csfasta-fasta-conv
franmbs/UniversidadFasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	franmbs/universidadfasta
fujiapples/fasta-to-fastq	include	metadata indicates biological FASTA use	Automatically exported from code.google.com/p/fasta-to-fastq		Perl	0.0	0.0	0.0	fujiapples/fasta-to-fastq
fulopjoz/rapid_fasta_analysis	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	fulopjoz/rapid_fasta_analysis
furahinibedon-arch/afar-mkopo-fasta	exclude	insufficient metadata to establish biological FASTA use	AFAR MIKOPO FASTA		TypeScript	0.0	0.0	0.0	furahinibedon-arch/afar-mkopo-fasta
gabe-raulet/fasta_map	exclude	insufficient metadata to establish biological FASTA use			C	0.0	0.0	0.0	gabe-raulet/fasta_map
GABRAH/FASTA-Glycan-Seqon-Checker	include	repository name indicates FASTA sequence handling			C++	0.0	1.0	0.0	gabrah/fasta-glycan-seqon-checker
gael-millot/table2fasta	include	repository name indicates FASTA conversion/handling			R	0.0	0.0	0.0	gael-millot/table2fasta
gaiban/python-fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	gaiban/python-fasta
garudlab/fasta_snv_caller	include	metadata indicates biological FASTA use	a simple way to call SNPs from fastas. Managed by Peter Laurin 		Python	2.0	0.0	0.0	garudlab/fasta_snv_caller
gchadwick/fasta_to_arb	include	repository name indicates FASTA conversion/handling	Convert a fasta from the Silva aligner into a format that works for inport into arb		Python	0.0	0.0	0.0	gchadwick/fasta_to_arb
gcollet/split_fasta	include	metadata indicates biological FASTA use	split_fasta		C++	1.0	0.0	0.0	gcollet/split_fasta
gebre037/script-for-indexing-fasta	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	gebre037/script-for-indexing-fasta
geedrn/extract_fasta	include	repository name indicates FASTA sequence handling			R	0.0	0.0	0.0	geedrn/extract_fasta
genome-regulation/ManipulateFasta	include	metadata indicates biological FASTA use			Python	0.0	0.0	0.0	genome-regulation/manipulatefasta
genomeannotation/fasta_length	include	metadata indicates biological FASTA use	Generates sequence length histogram from several fastas		Python	0.0	0.0	0.0	genomeannotation/fasta_length
GenomicaMicrob/fasta_cleaner	include	metadata indicates biological FASTA use	A bash script to rename and clean multifasta files		Shell	0.0	0.0	0.0	genomicamicrob/fasta_cleaner
GenomicaMicrob/fasta_header_renamer	include	metadata indicates biological FASTA use	Script to rename the headers of a mutifasta file with the name of the file,  it also adds a consecutive number to each sequence header.		Shell	0.0	0.0	0.0	genomicamicrob/fasta_header_renamer
GenomicaMicrob/fasta_renamer	include	metadata indicates biological FASTA use	Script to rename the headers of a multifasta file or files. A consecutive number will be added to each sequence header (>header_1, >header_2, etc.)		Shell	0.0	0.0	0.0	genomicamicrob/fasta_renamer
Genomicus/fasta-to-fastq	include	metadata indicates biological FASTA use	Automatically exported from code.google.com/p/fasta-to-fastq		Perl	0.0	0.0	0.0	genomicus/fasta-to-fastq
GeorgeClaudiOfficiel/HealthFasta	exclude	insufficient metadata to establish biological FASTA use	This repository contains the final project required for the completion of my Bachelor of Technology degree in Computer and Electronics Systems at MKU. The project focuses on developing a Sustainable Health Data Management System aimed at improving the collection, storage, and management of health records.		JavaScript	0.0	0.0	0.0	georgeclaudiofficiel/healthfasta
ghisia/fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	ghisia/fasta
giggu98/fasta_helper	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	giggu98/fasta_helper
gilbert-hop/Hop-Fasta	exclude	insufficient metadata to establish biological FASTA use	"Puts a ""Quick Update"" button on the Template editor"		JavaScript	0.0	0.0	0.0	gilbert-hop/hop-fasta
gitpan/Bio-ViennaNGS-Fasta	include	metadata indicates biological FASTA use	Read-only release history for Bio-ViennaNGS-Fasta		Perl	0.0	0.0	0.0	gitpan/bio-viennangs-fasta
gitpan/Tie-File-AnyData-Bio-Fasta	include	metadata indicates biological FASTA use	Read-only release history for Tie-File-AnyData-Bio-Fasta		Perl	0.0	0.0	0.0	gitpan/tie-file-anydata-bio-fasta
gk55gupta/Fasta_opticians	exclude	insufficient metadata to establish biological FASTA use	Front-end static html pages for Fasta opticians (Freelance Work)		HTML	0.0	0.0	0.0	gk55gupta/fasta_opticians
gkanogiannis/CGH_VCF2Fasta	include	metadata indicates biological FASTA use	CGH_VCF2Fasta		Java	0.0	0.0	0.0	gkanogiannis/cgh_vcf2fasta
GlaDos28/FASTA	exclude	metadata indicates FASTA algorithm/acronym rather than FASTA format use	FASTA algorithm written on Golang		Go	0.0	0.0	0.0	glados28/fasta
glaunay/fasta-lib	include	metadata indicates biological FASTA use	TS/ES7 implementation of FASTA like sequence parser 		TypeScript	0.0	0.0	0.0	glaunay/fasta-lib
gmarchandon/fasta-to-fastq	include	metadata indicates biological FASTA use	Automatically exported from code.google.com/p/fasta-to-fastq		Perl	0.0	0.0	0.0	gmarchandon/fasta-to-fastq
gmerrigantu/fasta-compress	exclude	insufficient metadata to establish biological FASTA use			C	0.0	0.0	0.0	gmerrigantu/fasta-compress
goeckslab/gbToFasta	include	repository name indicates FASTA conversion/handling			Python	0.0	0.0	0.0	goeckslab/gbtofasta
gofRA/fasta-test-example	exclude	insufficient metadata to establish biological FASTA use			Java	0.0	0.0	0.0	gofra/fasta-test-example
GoGoGosia/lab10-AnalizatorFASTA	include	metadata indicates biological FASTA use	Program do analizy plików .FASTA		C#	0.0	0.0	0.0	gogogosia/lab10-analizatorfasta
good-lly/fasta-experiments	exclude	insufficient metadata to establish biological FASTA use			C	0.0	0.0	0.0	good-lly/fasta-experiments
gpertea/cdbfasta	include	metadata indicates biological FASTA use	Constant DataBase tools for indexing and retrieving records from multi-FASTA or similarly structured files		C++	10.0	0.0	0.0	gpertea/cdbfasta
Gramuk/fasta-eGCP-mCherry	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	gramuk/fasta-egcp-mcherry
grandied/fasta_generator	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	grandied/fasta_generator
GregorySchwartz/fasta	include	metadata indicates biological FASTA use	The Fasta type as used by my programs.		Haskell	6.0	0.0	0.0	gregoryschwartz/fasta
GregorySchwartz/modify-fasta	include	metadata indicates biological FASTA use	Modify fasta (and CLIP) files in several ways.		Haskell	2.0	0.0	0.0	gregoryschwartz/modify-fasta
GroupeInfo/FASTA	exclude	insufficient metadata to establish biological FASTA use			C++	0.0	0.0	0.0	groupeinfo/fasta
guilhermeLoss/get_fasta_from_k2_out	exclude	insufficient metadata to establish biological FASTA use	backbone 01		Python	0.0	0.0	0.0	guilhermeloss/get_fasta_from_k2_out
gwajnberg/fasta-to-fastq	include	metadata indicates biological FASTA use	Automatically exported from code.google.com/p/fasta-to-fastq			0.0	0.0	0.0	gwajnberg/fasta-to-fastq
gwL955/fasta_split	include	repository name indicates FASTA sequence handling	将多个序列集合的fasta文件拆分为一个序列一个fasta文件		Perl	0.0	0.0	0.0	gwl955/fasta_split
Habib-Ahmad/fasta-landing-page	exclude	insufficient metadata to establish biological FASTA use			JavaScript	0.0	0.0	0.0	habib-ahmad/fasta-landing-page
Habib-Ahmad/fasta-pay-landing-page	exclude	insufficient metadata to establish biological FASTA use			JavaScript	0.0	0.0	0.0	habib-ahmad/fasta-pay-landing-page
Health-Universe/PDBtoFASTA	include	metadata indicates biological FASTA use	Converts amino acid residues from PDB files into a FASTA string		Python	0.0	0.0	0.0	health-universe/pdbtofasta
heg4ssan/FASTA-Evidencias	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	heg4ssan/fasta-evidencias
hellozzzw/analysis_fasta	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	hellozzzw/analysis_fasta
henrygit2001/Fasta	exclude	insufficient metadata to establish biological FASTA use			Shell	0.0	0.0	0.0	henrygit2001/fasta
heykalachik/fasta-slicer	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	heykalachik/fasta-slicer
Himaja-afk/multilinefasta_singlelinefasta	exclude	insufficient metadata to establish biological FASTA use	Conversion of multiline-FASTA to singleline-FASTA_Webserver		HTML	0.0	0.0	0.0	himaja-afk/multilinefasta_singlelinefasta
hiromu/splitfasta	include	repository name indicates FASTA sequence handling	This script separates a fasta / qual file which is generated by split_libralies.py		Python	0.0	0.0	0.0	hiromu/splitfasta
hitlxc/Fasta	include	metadata indicates biological FASTA use	基于Java的Fasta基因序列比对算法		Java	2.0	0.0	0.0	hitlxc/fasta
HIVDiversity/expand-fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	hivdiversity/expand-fasta
hkimlab-PE/fasta-to-fastq	include	metadata indicates biological FASTA use	Automatically exported from code.google.com/p/fasta-to-fastq		Perl	0.0	0.0	0.0	hkimlab-pe/fasta-to-fastq
hlwhitehurst/fasta_manipulation	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	hlwhitehurst/fasta_manipulation
holiday01/fasta-viewer	include	repository name indicates FASTA sequence handling			HTML	0.0	0.0	0.0	holiday01/fasta-viewer
HounerX/Fasta_Splitter	include	metadata indicates biological FASTA use	Fasta_splitter	bioinformatics;fasta;fasta-format;fasta-sequences	Shell	0.0	0.0	0.0	hounerx/fasta_splitter
huangqianfei0916/fasta2svm	include	metadata indicates biological FASTA use	A SVM classifier based on k-mer embedding		Python	1.0	0.0	0.0	huangqianfei0916/fasta2svm
hurwitzlab/extract-fasta	include	metadata indicates biological FASTA use	Use bedtools to extract fasta that is annotated with a gff file		Shell	0.0	0.0	0.0	hurwitzlab/extract-fasta
HYBleek/jQuery-fastq-fasta	include	metadata indicates biological FASTA use			C++	0.0	0.0	0.0	hybleek/jquery-fastq-fasta
iab-bioinformatics/RefFasta	include	metadata indicates biological FASTA use				0.0	0.0	0.0	iab-bioinformatics/reffasta
iamYustomwakifwamba/chatiFasta	exclude	insufficient metadata to establish biological FASTA use	whatsapp ChatBot		JavaScript	0.0	0.0	0.0	iamyustomwakifwamba/chatifasta
ian-culleton/fasta-cli-builds	exclude	insufficient metadata to establish biological FASTA use			Shell	0.0	0.0	0.0	ian-culleton/fasta-cli-builds
ianpartridge/swift-fasta-redux	exclude	insufficient metadata to establish biological FASTA use	The fasta-redux benchmark - implemented in Swift 		Swift	2.0	0.0	0.0	ianpartridge/swift-fasta-redux
IARCbioinfo/FASTA-tricks	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	iarcbioinfo/fasta-tricks
Ibadullah-dev/FASTa_API_xps	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	ibadullah-dev/fasta_api_xps
IbrahimRabah/human.fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	ibrahimrabah/human.fasta
IbrahimRabah/yeast.fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	ibrahimrabah/yeast.fasta
iih20/gff2fasta	include	metadata indicates biological FASTA use	generates fasta when supplied with gff file, reference sequence file, and required features			0.0	0.0	0.0	iih20/gff2fasta
ilana-caro/csv_to_fasta_gff3	include	metadata indicates biological FASTA use			Python	0.0	0.0	0.0	ilana-caro/csv_to_fasta_gff3
ileay29914/Fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	ileay29914/fasta
ileay29914/fasta-generator	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	ileay29914/fasta-generator
ileayiren/fasta-generator	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	ileayiren/fasta-generator
imandmc/FASTA_project	exclude	insufficient metadata to establish biological FASTA use			C++	0.0	0.0	0.0	imandmc/fasta_project
impostor692/fasta-editor	include	metadata indicates biological FASTA use	Fasta Editor, a Open Source Biology Sequence editor.	biology;javatokenapi	Java	1.0	0.0	0.0	impostor692/fasta-editor
IMT-Atlantic/GetFasta	include	metadata indicates biological FASTA use	从染色质bed类似结构生成Fasta文件			0.0	0.0	0.0	imt-atlantic/getfasta
incorruptam/bioinformatics-fasta-generator	include	metadata indicates biological FASTA use			Python	0.0	0.0	0.0	incorruptam/bioinformatics-fasta-generator
InesdeSantiago/splitFasta	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	inesdesantiago/splitfasta
ingava/fasta	exclude	metadata indicates unrelated use of FASTA term/acronym	A React Native app for managing intermittent fasting	es6;javascript;mobile-app;mobile-development;react;react-native	JavaScript	0.0	0.0	0.0	ingava/fasta
inoshree-2004/FASTA	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	inoshree-2004/fasta
inrb-labgenpath/ConsensusFasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	inrb-labgenpath/consensusfasta
Inria-Chile/oceania-fasta-query-client	exclude	insufficient metadata to establish biological FASTA use	Client for consuming fasta query services of OcéanIA Platform		Python	0.0	0.0	0.0	inria-chile/oceania-fasta-query-client
ipb-halle/fasta-playground	include	metadata indicates biological FASTA use	Test project for sequence library searching	fasta;javaserverfaes;jsf	Java	0.0	1.0	0.0	ipb-halle/fasta-playground
irembykbktsss/FASTA-Sekans-Dosyalar-	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	irembykbktsss/fasta-sekans-dosyalar-
iroh19/fasta-cvd-visualizer	include	metadata indicates biological FASTA use	Renk görme eksikliği olan araştırmacılar için FASTA sekans görselleştirici	bioinformatics;colour-palette;colour-vision-deficiency;fasta;multi-sequences-alignment	JavaScript	0.0	0.0	0.0	iroh19/fasta-cvd-visualizer
isaac-010/fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	isaac-010/fasta
ish14903-rgb/FASTA	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	ish14903-rgb/fasta
ishmaelmudau/FASTA	exclude	insufficient metadata to establish biological FASTA use			JavaScript	0.0	0.0	0.0	ishmaelmudau/fasta
ishmaelmudau/Fasta2	exclude	insufficient metadata to establish biological FASTA use			JavaScript	0.0	0.0	0.0	ishmaelmudau/fasta2
IshnoorKaur/fasta	exclude	insufficient metadata to establish biological FASTA use			C	0.0	0.0	0.0	ishnoorkaur/fasta
iskold/fasta-util	include	metadata indicates biological FASTA use	A bunch of semi-useful python scripts for dealing with fasta/fastq files.		Python	0.0	0.0	0.0	iskold/fasta-util
islamfardin/fasta-write	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	islamfardin/fasta-write
Istar-Eldritch/fasta-encoding-tests	exclude	insufficient metadata to establish biological FASTA use			Java	0.0	0.0	0.0	istar-eldritch/fasta-encoding-tests
itanini/create_common_ancestor_fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	itanini/create_common_ancestor_fasta
ItokawaK/ReheaderFasta	include	repository name indicates FASTA sequence handling	A graphical interface to concatenate fasta from multiple files and manipulate headers.		JavaScript	1.0	0.0	0.0	itokawak/reheaderfasta
itrus/GWAS-fasta	exclude	insufficient metadata to establish biological FASTA use	R code for creating Manhattan plots for GWAS		R	3.0	0.0	0.0	itrus/gwas-fasta
IvanTyulyandin/HMM_FASTA_Viterbi	exclude	insufficient metadata to establish biological FASTA use			C++	0.0	0.0	0.0	ivantyulyandin/hmm_fasta_viterbi
J-E-J-S/gb2fasta	include	metadata indicates biological FASTA use	Convert GenBank Files to FASTA Without Leaving the Terminal.	bioinformatics;cli;synthetic-biology	Python	0.0	0.0	0.0	j-e-j-s/gb2fasta
J-Igtm/https-raw.githubusercontent.com-username-repo-main-filename.fasta	include	metadata indicates biological FASTA use				0.0	0.0	0.0	j-igtm/https-raw.githubusercontent.com-username-repo-main-filename.fasta
J-Igtm/https-raw.githubusercontent.com-username-repo-main-my_sequences.fasta	include	metadata indicates biological FASTA use				0.0	0.0	0.0	j-igtm/https-raw.githubusercontent.com-username-repo-main-my_sequences.fasta
J-Igtm/My-_sequence_fasta	include	metadata indicates biological FASTA use				0.0	0.0	0.0	j-igtm/my-_sequence_fasta
J-Igtm/my-fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	j-igtm/my-fasta
J-Igtm/Raw-fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	j-igtm/raw-fasta
j23414/fasta-cluster	include	metadata indicates biological FASTA use	A modular workflow for taking a set of sequences and clustering them into representative sequences		Nextflow	0.0	0.0	0.0	j23414/fasta-cluster
